GEO,age999,age0-19,age20-44,age45-54,age55-64,age65-74,age75-84,age85plus,per0-19,per20-44,per45-54,per55-64,per65-74,per75-84,per85plus
Pennsylvania,12807060.0,2994144.0,4014700.0,1652781.0,1809805.0,1310750.0,690637.0,334243.0,0.23378855100233778,0.3134755361495925,0.12905233519636825,0.14131307263337564,0.10234589359306508,0.05392627191564653,0.026098339509614227
Rhode Island,1057315.0,239500.0,347033.0,139370.0,149158.0,102595.0,51807.0,27852.0,0.2265171684881043,0.32822101265942505,0.1318150220133073,0.14107243347535975,0.0970335235951443,0.048998642788572945,0.02634219698008635
South Carolina,5084127.0,1242094.0,1617361.0,646458.0,678299.0,549831.0,261109.0,88975.0,0.24430821653353663,0.3181197086540128,0.12715221315281858,0.1334150386093817,0.10814659035858074,0.05135768638352268,0.017500546308146906
South Dakota,882235.0,241450.0,279589.0,97081.0,117261.0,85050.0,40813.0,20991.0,0.2736799152153338,0.31690989362244754,0.11003984199221296,0.13291356611333716,0.09640288585240894,0.046260916875889076,0.023792980328370558
Tennessee,6770010.0,1674353.0,2216991.0,882795.0,886174.0,661602.0,328033.0,120062.0,0.24731913246804657,0.32747233755932414,0.1303978871523085,0.1308970001521416,0.0977254095636491,0.04845384275650996,0.017734390348020164
Texas,28701845.0,8195635.0,10116643.0,3552957.0,3234290.0,2166529.0,1035292.0,400499.0,0.2855438387323184,0.3524736127590404,0.12378845332068374,0.11268578727256036,0.07548396279054535,0.036070573163502206,0.013953771961349523
Utah,3161105.0,1027866.0,1160428.0,322173.0,300160.0,209871.0,102831.0,37776.0,0.325160347410162,0.3670956833132718,0.10191784202043273,0.09495413787267427,0.06639165734766798,0.032530080462369965,0.01195025157342132
Vermont,626299.0,136999.0,190885.0,80719.0,96489.0,72893.0,33893.0,14421.0,0.2187437629630576,0.30478253996892857,0.12888253054850798,0.15406219712948607,0.11638690146399723,0.05411632463088716,0.02302574329513539
Virginia,8517685.0,2096027.0,2874001.0,1125384.0,1106872.0,779038.0,384471.0,151892.0,0.24607942181473016,0.3374157414837482,0.13212322362238096,0.12994986313769527,0.09146123623965902,0.04513796882603665,0.01783254487574969
Washington,7535591.0,1839468.0,2637489.0,933531.0,960871.0,708808.0,322041.0,133383.0,0.24410401254526684,0.35000426642051036,0.12388291774327986,0.12751103397198707,0.0940613682457023,0.04273599774722381,0.01770040332602977
West Virginia,1805832.0,407915.0,545216.0,234453.0,258370.0,212837.0,107141.0,39900.0,0.22588756872178586,0.3019195584085341,0.12983101418072113,0.14307532483641888,0.11786090843445016,0.05933054680612593,0.022095078611963904
Wisconsin,5813568.0,1431947.0,1838014.0,737557.0,820577.0,571623.0,285214.0,128636.0,0.24631121541882714,0.3161593706309103,0.12686821587018507,0.14114860271695454,0.09832567538558076,0.049060060878276475,0.02212685909926572
Wyoming,577737.0,149176.0,188457.0,64880.0,79849.0,58168.0,26526.0,10681.0,0.25820745425686775,0.3261985990165075,0.11230023349724874,0.13820994674047188,0.10068249047577012,0.0459136250577685,0.018487650955365503
Puerto Rico,3195153.0,679849.0,1005600.0,422231.0,426258.0,361813.0,213303.0,86099.0,0.2127751002847125,0.31472671261751783,0.1321473494383524,0.1334076959694888,0.11323808280855409,0.06675830547081783,0.02694675341055655
